Packet received; type=DATA; seqNum=46; length=1472; checksum_in_packet=f44c75bc;
checksum_calculated=f44c75bc; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=47; length=1472; checksum_in_packet=c92c5c0c;
checksum_calculated=c92c5c0c; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=48; length=1472; checksum_in_packet=2b9c5c5f;
checksum_calculated=2b9c5c5f; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=49; length=1472; checksum_in_packet=16fc75ef;
checksum_calculated=16fc75ef; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=50; length=1472; checksum_in_packet=515c0f3f;
checksum_calculated=515c0f3f; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=51; length=1472; checksum_in_packet=6c3c268f;
checksum_calculated=6c3c268f; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=52; length=1472; checksum_in_packet=de1cfa9f;
checksum_calculated=de1cfa9f; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=53; length=1472; checksum_in_packet=e37cd32f;
checksum_calculated=e37cd32f; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=54; length=1472; checksum_in_packet=a4dca9ff;
checksum_calculated=a4dca9ff; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=55; length=1472; checksum_in_packet=99bc804f;
checksum_calculated=99bc804f; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=56; length=1472; checksum_in_packet=1bec179e;
checksum_calculated=1bec179e; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=57; length=1472; checksum_in_packet=268c3e2e;
checksum_calculated=268c3e2e; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=58; length=1472; checksum_in_packet=612c44fe;
checksum_calculated=612c44fe; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=59; length=1472; checksum_in_packet=5c4c6d4e;
checksum_calculated=5c4c6d4e; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=60; length=1472; checksum_in_packet=ee6cb15e;
checksum_calculated=ee6cb15e; status=NOT_CORRUPT

Packet sent; type=ACK; seqNum=120; length=16; checksum=81365583

Packet sent; type=ACK; seqNum=121; length=16; checksum=bc567c33

Packet sent; type=ACK; seqNum=122; length=16; checksum=fbf606e3

Packet sent; type=ACK; seqNum=123; length=16; checksum=c6962f53

Packet sent; type=ACK; seqNum=124; length=16; checksum=74b6f343

Packet sent; type=ACK; seqNum=125; length=16; checksum=49d6daf3

Packet sent; type=ACK; seqNum=126; length=16; checksum=0e76a023

Packet sent; type=ACK; seqNum=127; length=16; checksum=33168993

Packet sent; type=ACK; seqNum=128; length=16; checksum=f9724e1f

Packet sent; type=ACK; seqNum=129; length=16; checksum=c41267af

Packet sent; type=ACK; seqNum=130; length=16; checksum=83b21d7f

Packet sent; type=ACK; seqNum=131; length=16; checksum=bed234cf

Packet sent; type=ACK; seqNum=132; length=16; checksum=0cf2e8df

Packet sent; type=ACK; seqNum=133; length=16; checksum=3192c16f

Packet sent; type=ACK; seqNum=134; length=16; checksum=7632bbbf

Packet sent; type=ACK; seqNum=135; length=16; checksum=4b52920f

Packet sent; type=ACK; seqNum=136; length=16; checksum=c90205de

Packet sent; type=ACK; seqNum=137; length=16; checksum=f4622c6e

Packet sent; type=ACK; seqNum=138; length=16; checksum=b3c256be

Packet sent; type=ACK; seqNum=139; length=16; checksum=8ea27f0e

Packet sent; type=ACK; seqNum=140; length=16; checksum=3c82a31e

Packet sent; type=ACK; seqNum=141; length=16; checksum=01e28aae

Packet sent; type=ACK; seqNum=142; length=16; checksum=4642f07e

Packet sent; type=ACK; seqNum=143; length=16; checksum=7b22d9ce

Packet sent; type=ACK; seqNum=144; length=16; checksum=9992d99d

Packet sent; type=ACK; seqNum=145; length=16; checksum=a4f2f02d

Packet sent; type=ACK; seqNum=146; length=16; checksum=e3528afd

Packet sent; type=ACK; seqNum=147; length=16; checksum=de32a34d

Packet sent; type=ACK; seqNum=148; length=16; checksum=6c127f5d

Packet sent; type=ACK; seqNum=149; length=16; checksum=517256ed

Packet sent; type=ACK; seqNum=150; length=16; checksum=16d22c3d

Packet sent; type=ACK; seqNum=151; length=16; checksum=2bb2058d

Packet sent; type=ACK; seqNum=152; length=16; checksum=a9e2925c

Packet sent; type=ACK; seqNum=153; length=16; checksum=9482bbec

Packet sent; type=ACK; seqNum=154; length=16; checksum=d322c13c

Packet sent; type=ACK; seqNum=155; length=16; checksum=ee42e88c

Packet sent; type=ACK; seqNum=156; length=16; checksum=5c62349c

Packet sent; type=ACK; seqNum=157; length=16; checksum=61021d2c

Packet sent; type=ACK; seqNum=158; length=16; checksum=26a267fc

Packet sent; type=ACK; seqNum=159; length=16; checksum=1bc24e4c

Packet sent; type=ACK; seqNum=160; length=16; checksum=38b3611b

Packet sent; type=ACK; seqNum=161; length=16; checksum=05d348ab

Packet sent; type=ACK; seqNum=162; length=16; checksum=4273327b

Packet sent; type=ACK; seqNum=163; length=16; checksum=7f131bcb

Packet sent; type=ACK; seqNum=164; length=16; checksum=cd33c7db

Packet sent; type=ACK; seqNum=165; length=16; checksum=f053ee6b

Packet sent; type=ACK; seqNum=166; length=16; checksum=b7f394bb

Packet sent; type=ACK; seqNum=167; length=16; checksum=8a93bd0b

Packet sent; type=ACK; seqNum=168; length=16; checksum=08c32ada

Packet sent; type=ACK; seqNum=169; length=16; checksum=35a3036a

Packet sent; type=ACK; seqNum=170; length=16; checksum=720379ba

Packet sent; type=ACK; seqNum=171; length=16; checksum=4f63500a

Packet sent; type=ACK; seqNum=172; length=16; checksum=fd438c1a

Packet sent; type=ACK; seqNum=173; length=16; checksum=c023a5aa

Packet sent; type=ACK; seqNum=174; length=16; checksum=8783df7a

Packet sent; type=ACK; seqNum=175; length=16; checksum=bae3f6ca

Packet sent; type=ACK; seqNum=176; length=16; checksum=5853f699

Packet sent; type=ACK; seqNum=177; length=16; checksum=6533df29

Packet sent; type=ACK; seqNum=178; length=16; checksum=2293a5f9

Packet sent; type=ACK; seqNum=179; length=16; checksum=1ff38c49

Packet sent; type=ACK; seqNum=180; length=16; checksum=add35059

Packet sent; type=ACK; seqNum=181; length=16; checksum=90b379e9

Packet received; type=DATA; seqNum=61; length=1472; checksum_in_packet=d30c98ee;
checksum_calculated=d30c98ee; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=62; length=1472; checksum_in_packet=94ace23e;
checksum_calculated=94ace23e; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=63; length=1472; checksum_in_packet=a9cccb8e;
checksum_calculated=a9cccb8e; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=64; length=1472; checksum_in_packet=d24ebc90;
checksum_calculated=d24ebc90; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=65; length=1472; checksum_in_packet=ef2e9520;
checksum_calculated=ef2e9520; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=66; length=1472; checksum_in_packet=a88eeff0;
checksum_calculated=a88eeff0; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=67; length=1472; checksum_in_packet=95eec640;
checksum_calculated=95eec640; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=68; length=1472; checksum_in_packet=27ce1a50;
checksum_calculated=27ce1a50; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=69; length=1472; checksum_in_packet=1aae33e0;
checksum_calculated=1aae33e0; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=70; length=1472; checksum_in_packet=5d0e4930;
checksum_calculated=5d0e4930; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=71; length=1472; checksum_in_packet=606e6080;
checksum_calculated=606e6080; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=72; length=1472; checksum_in_packet=e23ef751;
checksum_calculated=e23ef751; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=73; length=1472; checksum_in_packet=df5edee1;
checksum_calculated=df5edee1; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=74; length=1472; checksum_in_packet=98fea431;
checksum_calculated=98fea431; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=75; length=1472; checksum_in_packet=a59e8d81;
checksum_calculated=a59e8d81; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=76; length=1472; checksum_in_packet=17be5191;
checksum_calculated=17be5191; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=77; length=1472; checksum_in_packet=2ade7821;
checksum_calculated=2ade7821; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=78; length=1472; checksum_in_packet=6d7e02f1;
checksum_calculated=6d7e02f1; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=79; length=1472; checksum_in_packet=501e2b41;
checksum_calculated=501e2b41; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=80; length=1472; checksum_in_packet=b2ae2b12;
checksum_calculated=b2ae2b12; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=81; length=1472; checksum_in_packet=8fce02a2;
checksum_calculated=8fce02a2; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=82; length=1472; checksum_in_packet=c86e7872;
checksum_calculated=c86e7872; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=83; length=1472; checksum_in_packet=f50e51c2;
checksum_calculated=f50e51c2; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=84; length=1472; checksum_in_packet=472e8dd2;
checksum_calculated=472e8dd2; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=85; length=1472; checksum_in_packet=7a4ea462;
checksum_calculated=7a4ea462; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=86; length=1472; checksum_in_packet=3deedeb2;
checksum_calculated=3deedeb2; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=87; length=1472; checksum_in_packet=008ef702;
checksum_calculated=008ef702; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=88; length=1472; checksum_in_packet=82de60d3;
checksum_calculated=82de60d3; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=89; length=1472; checksum_in_packet=bfbe4963;
checksum_calculated=bfbe4963; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=90; length=1472; checksum_in_packet=f81e33b3;
checksum_calculated=f81e33b3; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=91; length=1472; checksum_in_packet=c57e1a03;
checksum_calculated=c57e1a03; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=92; length=1472; checksum_in_packet=775ec613;
checksum_calculated=775ec613; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=93; length=1472; checksum_in_packet=4a3eefa3;
checksum_calculated=4a3eefa3; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=94; length=1472; checksum_in_packet=0d9e9573;
checksum_calculated=0d9e9573; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=95; length=1472; checksum_in_packet=30febcc3;
checksum_calculated=30febcc3; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=96; length=1472; checksum_in_packet=138f9394;
checksum_calculated=138f9394; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=97; length=1472; checksum_in_packet=2eefba24;
checksum_calculated=2eefba24; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=98; length=1472; checksum_in_packet=694fc0f4;
checksum_calculated=694fc0f4; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=99; length=1472; checksum_in_packet=542fe944;
checksum_calculated=542fe944; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=100; length=1472; checksum_in_packet=e60f3554;
checksum_calculated=e60f3554; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=101; length=1472; checksum_in_packet=db6f1ce4;
checksum_calculated=db6f1ce4; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=102; length=1472; checksum_in_packet=9ccf6634;
checksum_calculated=9ccf6634; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=103; length=1472; checksum_in_packet=a1af4f84;
checksum_calculated=a1af4f84; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=104; length=1472; checksum_in_packet=23ffd855;
checksum_calculated=23ffd855; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=105; length=1472; checksum_in_packet=1e9ff1e5;
checksum_calculated=1e9ff1e5; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=106; length=1472; checksum_in_packet=593f8b35;
checksum_calculated=593f8b35; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=107; length=1472; checksum_in_packet=645fa285;
checksum_calculated=645fa285; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=108; length=1472; checksum_in_packet=d67f7e95;
checksum_calculated=d67f7e95; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=109; length=1472; checksum_in_packet=eb1f5725;
checksum_calculated=eb1f5725; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=110; length=1472; checksum_in_packet=acbf2df5;
checksum_calculated=acbf2df5; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=111; length=1472; checksum_in_packet=91df0445;
checksum_calculated=91df0445; status=NOT_CORRUPT

Packet received; type=DATA; seqNum=112; length=1472; checksum_in_packet=736f0416;
checksum_calculated=736f0416; status=NOT_CORRUPT

